TIME      DELTA         INSNs   OPERATION
frequency 10
0         [+0]          [+   1] 7f7ab0a14cc0
                        [+   8]                                                                                             7f7ab0a2437c -> 7f7ab0a2f400
                        [+   6]                                                                                             7f7ab0a24391 -> 7f7ab0a219a0
                        [+  14]                                                                                                 7f7ab0a219cd -> 7f7ab0a1c810
                        [+  33]                                                                                                     7f7ab0a1c898 -> 7f7ab0a257b0
                        [+   7]                                                                                                         7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                         7f7ab0a257ef -> 7f7ab0a2f930
                        [+  20]                                                                                                     7f7ab0a1c898 -> 7f7ab0a257b0
                        [+   7]                                                                                                         7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                         7f7ab0a257ef -> 7f7ab0a2f930
                        [+   8]                                                                                                         7f7ab0a257ef -> 7f7ab0a2f930
                        [+ 256]                                                                                         7f7ab0a221f6 -> 7f7ab0a14a80
                        [+   9]                                                                                         7f7ab0a2221c -> 7f7ab0a31d50
                        [+   5]                                                                                         7f7ab0a2222f -> 7f7ab0a31d50
                        [+  64]                                                                                         7f7ab0a22562 -> 7f7ab0a14a80
                        [+  61]                                                                                         7f7ab0a22e0f -> 7f7ab0a31d50
                        [+  13]                                                                                         7f7ab0a227a3 -> 7f7ab0a31a30
                        [+  42]                                                                                         7f7ab0a228c3 -> 7f7ab0a31a30
                        [+  88]                                                                                     7f7ab0a17aa2 -> 7f7ab0a243f0
                        [+  11]                                                                                         7f7ab0a24407 -> 7f7ab0a14d10
                        [+   7]                                                                                         7f7ab0a2442b -> 7f7ab0a15960
                        [+   6]                                                                                             7f7ab0a15973 -> 7f7ab0a26100
                        [+  19]                                                                                                 7f7ab0a2613f -> 7f7ab0a25c50
                        [+  42]                                                                                                     7f7ab0a25d0b -> 7f7ab0a257b0
                        [+   7]                                                                                                         7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                         7f7ab0a257ef -> 7f7ab0a2f930
                        [+   8]                                                                                                     7f7ab0a25d0b -> 7f7ab0a257b0
                        [+   7]                                                                                                         7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                         7f7ab0a257ef -> 7f7ab0a2f930
                        [+   8]                                                                                                     7f7ab0a25d0b -> 7f7ab0a257b0
                        [+   7]                                                                                                         7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                         7f7ab0a257ef -> 7f7ab0a2f930
                        [+  34]                                                                                                     7f7ab0a25d8b -> 7f7ab0a258a0
                        [+  41]                                                                                                         7f7ab0a259fc -> 7f7ab0a2f930
                        [+  25]                                                                                                     7f7ab0a25ee9 -> 7f7ab0a14a90
                        [+  14]                                                                                                 7f7ab0a2613f -> 7f7ab0a25c50
                        [+  52]                                                                                                     7f7ab0a25ee9 -> 7f7ab0a14a90
                        [+  14]                                                                                                 7f7ab0a2613f -> 7f7ab0a25c50
                        [+  42]                                                                                                     7f7ab0a25d0b -> 7f7ab0a257b0
                        [+   7]                                                                                                         7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                         7f7ab0a257ef -> 7f7ab0a2f930
                        [+   8]                                                                                                     7f7ab0a25d0b -> 7f7ab0a257b0
                        [+   7]                                                                                                         7f7ab0a257c0 -> 7f7ab0a2f930
                        [+   9]                                                                                                         7f7ab0a257ef -> 7f7ab0a2f930
                        [+   8]                                                                                                     7f7ab0a25d0b -> 7f7ab0a257b0
